Date,Price,Open,High,Low,Vol.,Change %
10/5/2022,1457.00,1457.00,1457.00,1457.00,,0.00
10/4/2022,1462.00,1462.00,1462.00,1462.00,,-0.01
10/3/2022,1476.00,1476.00,1476.00,1476.00,,0.00
9/30/2022,1477.00,1477.00,1477.00,1477.00,,0.00
9/29/2022,1484.00,1484.00,1484.00,1484.00,,-0.01
9/28/2022,1497.00,1497.00,1497.00,1497.00,,-0.01
9/27/2022,1506.00,1506.00,1506.00,1506.00,,0.00
9/26/2022,1507.00,1507.00,1507.00,1507.00,,0.01
9/23/2022,1498.00,1498.00,1498.00,1498.00,,0.00
9/22/2022,1497.00,1497.00,1497.00,1497.00,,0.00
9/21/2022,1501.00,1501.00,1501.00,1501.00,,0.00
9/20/2022,1508.00,1508.00,1508.00,1508.00,,0.01
9/16/2022,1492.00,1492.00,1492.00,1492.00,,0.02
9/15/2022,1464.00,1464.00,1464.00,1464.00,,0.00
9/14/2022,1461.00,1461.00,1461.00,1461.00,,0.00
9/13/2022,1455.00,1455.00,1455.00,1455.00,,0.01
9/12/2022,1439.00,1439.00,1439.00,1439.00,,0.00
9/9/2022,1432.00,1432.00,1432.00,1432.00,,0.01
9/8/2022,1416.00,1416.00,1416.00,1416.00,,0.00
9/7/2022,1420.00,1420.00,1420.00,1420.00,,-0.01
9/6/2022,1439.00,1439.00,1439.00,1439.00,,-0.02
9/5/2022,1471.00,1471.00,1471.00,1471.00,,-0.01
9/2/2022,1489.00,1489.00,1489.00,1489.00,,-0.01
9/1/2022,1504.00,1504.00,1504.00,1504.00,,-0.01
8/31/2022,1512.00,1512.00,1512.00,1512.00,,-0.01
8/30/2022,1526.00,1526.00,1526.00,1526.00,,-0.02
8/26/2022,1554.00,1554.00,1554.00,1554.00,,0.00
8/25/2022,1550.00,1550.00,1550.00,1550.00,,0.01
8/24/2022,1542.00,1542.00,1542.00,1542.00,,0.00
8/23/2022,1549.00,1549.00,1549.00,1549.00,,0.00
8/22/2022,1548.00,1548.00,1548.00,1548.00,,0.00
8/19/2022,1554.00,0.00,0.00,0.00,,0.00
8/18/2022,1553.00,1553.00,1553.00,1553.00,,0.00
8/17/2022,1547.00,1547.00,1547.00,1547.00,,0.02
8/16/2022,1515.00,1515.00,1515.00,1515.00,,0.02
8/15/2022,1488.00,1488.00,1488.00,1488.00,,0.01
8/12/2022,1475.00,1475.00,1475.00,1475.00,,0.00
8/11/2022,1469.00,1469.00,1469.00,1469.00,,0.00
8/10/2022,1463.00,1463.00,1463.00,1463.00,,0.01
8/9/2022,1455.00,1455.00,1455.00,1455.00,,0.00
8/8/2022,1451.00,1451.00,1451.00,1451.00,,0.00
8/5/2022,1448.00,1448.00,1448.00,1448.00,,0.01
8/4/2022,1437.00,1437.00,1437.00,1437.00,,-0.01
8/3/2022,1454.00,1454.00,1454.00,1454.00,,-0.01
8/2/2022,1474.00,1474.00,1474.00,1474.00,,0.00
8/1/2022,1472.00,1472.00,1472.00,1472.00,,0.00
7/29/2022,1466.00,1466.00,1466.00,1466.00,,0.02
7/28/2022,1442.00,1442.00,1442.00,1442.00,,0.00
7/27/2022,1446.00,1446.00,1446.00,1446.00,,-0.02
7/26/2022,1468.00,1468.00,1468.00,1468.00,,-0.01
7/25/2022,1483.00,1483.00,1483.00,1483.00,,0.00
7/22/2022,1485.00,1485.00,1485.00,1485.00,,0.00
7/21/2022,1481.00,1481.00,1481.00,1481.00,,0.01
7/20/2022,1467.00,1467.00,1467.00,1467.00,,0.01
7/19/2022,1448.00,1448.00,1448.00,1448.00,,0.02
7/18/2022,1413.00,1413.00,1413.00,1413.00,,0.03
7/15/2022,1369.00,1369.00,1369.00,1369.00,,0.00
7/14/2022,1369.00,1369.00,1369.00,1369.00,,-0.01
7/13/2022,1378.00,1378.00,1378.00,1378.00,,0.00
7/12/2022,1373.00,1373.00,1373.00,1373.00,,0.01
7/11/2022,1363.00,1363.00,1363.00,1363.00,,0.02
7/8/2022,1333.00,1333.00,1333.00,1333.00,,0.04
7/7/2022,1286.00,1286.00,1286.00,1286.00,,0.02
7/6/2022,1260.00,1260.00,1260.00,1260.00,,0.03
7/5/2022,1226.00,1226.00,1226.00,1226.00,,0.00
7/4/2022,1222.00,1222.00,1222.00,1222.00,,0.00
7/1/2022,1224.00,1224.00,1224.00,1224.00,,-0.01
6/30/2022,1234.00,1234.00,1234.00,1234.00,,0.01
6/29/2022,1225.00,1225.00,1225.00,1225.00,,0.01
6/28/2022,1212.00,1212.00,1212.00,1212.00,,0.00
6/27/2022,1215.00,1215.00,1215.00,1215.00,,0.00
6/24/2022,1219.00,1219.00,1219.00,1219.00,,0.00
6/23/2022,1222.00,1222.00,1222.00,1222.00,,0.01
6/22/2022,1214.00,1214.00,1214.00,1214.00,,0.01
6/21/2022,1207.00,1207.00,1207.00,1207.00,,0.00
6/20/2022,1204.00,1204.00,1204.00,1204.00,,0.00
6/17/2022,1205.00,1205.00,1205.00,1205.00,,0.01
6/16/2022,1199.00,1199.00,1199.00,1199.00,,0.03
6/15/2022,1168.00,1168.00,1168.00,1168.00,,0.02
6/14/2022,1147.00,1147.00,1147.00,1147.00,,0.01
6/13/2022,1132.00,1132.00,1132.00,1132.00,,0.01
6/10/2022,1126.00,1126.00,1126.00,1126.00,,0.03
6/9/2022,1093.00,1093.00,1093.00,1093.00,,0.00
6/8/2022,1090.00,1090.00,1090.00,1090.00,,0.00
6/7/2022,1089.00,1089.00,1089.00,1089.00,,0.00
6/6/2022,1088.00,1088.00,1088.00,1088.00,,-0.01
6/1/2022,1104.00,1104.00,1104.00,1104.00,,-0.01
5/31/2022,1119.00,1119.00,1119.00,1119.00,,0.00
5/30/2022,1121.00,1121.00,1121.00,1121.00,,-0.01
5/27/2022,1128.00,1128.00,1128.00,1128.00,,0.00
5/26/2022,1126.00,1126.00,1126.00,1126.00,,0.00
5/25/2022,1122.00,1122.00,1122.00,1122.00,,0.00
5/24/2022,1119.00,1119.00,1119.00,1119.00,,0.00
5/23/2022,1114.00,1114.00,1114.00,1114.00,,0.00
5/20/2022,1111.00,1111.00,1111.00,1111.00,,0.01
5/19/2022,1101.00,1101.00,1101.00,1101.00,,0.02
5/18/2022,1083.00,1083.00,1083.00,1083.00,,-0.02
5/17/2022,1110.00,1110.00,1110.00,1110.00,,-0.01
5/16/2022,1125.00,1125.00,1125.00,1125.00,,-0.01
5/13/2022,1133.00,1133.00,1133.00,1133.00,,-0.01
5/12/2022,1140.00,1140.00,1140.00,1140.00,,-0.01
5/11/2022,1155.00,1155.00,1155.00,1155.00,,-0.01
5/10/2022,1167.00,1167.00,1167.00,1167.00,,0.01
5/9/2022,1160.00,1160.00,1160.00,1160.00,,0.00
5/6/2022,1162.00,1162.00,1162.00,1162.00,,-0.02
5/5/2022,1182.00,1182.00,1182.00,1182.00,,-0.04
5/4/2022,1226.00,1226.00,1226.00,1226.00,,-0.01
5/3/2022,1233.00,1233.00,1233.00,1233.00,,-0.02
4/29/2022,1253.00,1253.00,1253.00,1253.00,,0.01
4/28/2022,1245.00,1245.00,1245.00,1245.00,,0.01
4/27/2022,1234.00,1234.00,1234.00,1234.00,,-0.05
4/26/2022,1296.00,1296.00,1296.00,1296.00,,-0.06
4/25/2022,1382.00,1382.00,1382.00,1382.00,,-0.06
4/22/2022,1465.00,1465.00,1465.00,1465.00,,-0.03
4/21/2022,1518.00,1518.00,1518.00,1518.00,,-0.04
4/20/2022,1589.00,1589.00,1589.00,1589.00,,-0.05
4/19/2022,1680.00,1680.00,1680.00,1680.00,,-0.02
4/14/2022,1714.00,1714.00,1714.00,1714.00,,-0.01
4/13/2022,1728.00,1728.00,1728.00,1728.00,,-0.01
4/12/2022,1744.00,1744.00,1744.00,1744.00,,0.01
4/11/2022,1730.00,1730.00,1730.00,1730.00,,0.03
4/8/2022,1677.00,1677.00,1677.00,1677.00,,0.01
4/7/2022,1653.00,1653.00,1653.00,1653.00,,0.07
4/6/2022,1547.00,1547.00,1547.00,1547.00,,0.05
4/5/2022,1469.00,1469.00,1469.00,1469.00,,0.07
4/4/2022,1369.00,1369.00,1369.00,1369.00,,0.04
4/1/2022,1321.00,1321.00,1321.00,1321.00,,0.03
3/31/2022,1279.00,1279.00,1279.00,1279.00,,0.05
3/30/2022,1223.00,1223.00,1223.00,1223.00,,0.05
3/29/2022,1163.00,1163.00,1163.00,1163.00,,0.02
3/28/2022,1141.00,1141.00,1141.00,1141.00,,0.03
3/25/2022,1112.00,1112.00,1112.00,1112.00,,0.02
3/24/2022,1093.00,1093.00,1093.00,1093.00,,0.00
3/23/2022,1093.00,1093.00,1093.00,1093.00,,0.00
3/22/2022,1092.00,1092.00,1092.00,1092.00,,-0.01
3/21/2022,1105.00,1105.00,1105.00,1105.00,,-0.02
3/18/2022,1127.00,1127.00,1127.00,1127.00,,-0.08
3/17/2022,1225.00,1225.00,1225.00,1225.00,,-0.03
3/16/2022,1268.00,1268.00,1268.00,1268.00,,-0.01
3/15/2022,1279.00,1279.00,1279.00,1279.00,,-0.01
3/14/2022,1297.00,1297.00,1297.00,1297.00,,-0.01
3/11/2022,1312.00,1312.00,1312.00,1312.00,,-0.02
3/10/2022,1333.00,1333.00,1333.00,1333.00,,-0.01
3/9/2022,1349.00,1349.00,1349.00,1349.00,,-0.05
3/8/2022,1424.00,1424.00,1424.00,1424.00,,-0.06
3/7/2022,1517.00,1517.00,1517.00,1517.00,,0.03
3/4/2022,1474.00,1474.00,1474.00,1474.00,,-0.02
3/3/2022,1497.00,1497.00,1497.00,1497.00,,0.02
3/2/2022,1466.00,1466.00,1466.00,1466.00,,0.01
3/1/2022,1449.00,1449.00,1449.00,1449.00,,0.08
2/28/2022,1343.00,1343.00,1343.00,1343.00,,0.17
2/25/2022,1147.00,1147.00,1147.00,1147.00,,0.27
2/24/2022,904.00,904.00,904.00,904.00,,0.25
2/23/2022,725.00,725.00,725.00,725.00,,0.01
2/22/2022,715.00,715.00,715.00,715.00,,0.01
2/21/2022,706.00,706.00,706.00,706.00,,0.01
2/18/2022,699.00,699.00,699.00,699.00,,0.01
2/17/2022,694.00,694.00,694.00,694.00,,0.00
2/16/2022,692.00,692.00,692.00,692.00,,0.00
2/15/2022,691.00,691.00,691.00,691.00,,0.00
2/14/2022,690.00,690.00,690.00,690.00,,0.00
2/11/2022,687.00,687.00,687.00,687.00,,0.01
2/10/2022,681.00,681.00,681.00,681.00,,0.00
2/9/2022,682.00,682.00,682.00,682.00,,0.00
2/8/2022,681.00,681.00,681.00,681.00,,0.00
2/7/2022,682.00,682.00,682.00,682.00,,0.00
2/4/2022,679.00,679.00,679.00,679.00,,0.00
2/3/2022,679.00,679.00,679.00,679.00,,0.00
2/2/2022,682.00,682.00,682.00,682.00,,0.00
2/1/2022,685.00,685.00,685.00,685.00,,-0.01
1/31/2022,689.00,689.00,689.00,689.00,,0.00
1/28/2022,687.00,687.00,687.00,687.00,,0.00
1/27/2022,685.00,685.00,685.00,685.00,,0.00
1/26/2022,682.00,682.00,682.00,682.00,,-0.01
1/25/2022,691.00,691.00,691.00,691.00,,0.00
1/24/2022,692.00,692.00,692.00,692.00,,0.00
1/21/2022,692.00,692.00,692.00,692.00,,0.00
1/20/2022,691.00,691.00,691.00,691.00,,0.00
